Store_ID,SKU_ID,STOCK_LEVEL
31257,1951619,83
31257,1061387,50
31257,1921053,95
31257,1921062,88
31257,1921060,52
31257,2111566,72
31257,2111565,24
31257,2096302,0
31257,2045273,22
31257,1061376,27
31257,1951074,78
31257,1951073,77
31257,1951072,67
31257,1951071,21
31257,2044046,53
31257,1951499,41
31257,1951497,32
31257,1951495,85
31257,1951493,35
31257,1061443,4
31257,2011310,29
31257,2044063,34
31257,1131725,30
31257,1131731,93
31257,1131728,25
31257,1131101,8
31257,1131097,22
31257,1131096,37
31257,1191257,54
31257,2089586,96
31257,2089583,48
31257,2089580,27
31257,1951524,48
31257,1951512,72
31257,1951479,12
31257,1951520,1
31257,1951507,60
31257,1951472,58
31257,1951486,20
31257,1951482,87
31257,1951596,70
31257,1951635,54
31257,1951501,55
31257,1951631,80
31257,1951629,58
31257,2045271,49
31257,2045269,47
31257,2045268,38
31257,1331109,40
31257,2049714,91
31257,2097433,84
31257,2086758,87
31257,2101453,83
31257,2085734,77
31257,2107840,31
31257,2057675,35
31257,2111214,71
31257,2096295,76
31257,2096508,57
31257,2141100,21
31257,2138568,16
31257,2119203,61
31257,2145520,96
31257,2134089,55
31257,1895146,71
31257,2060786,74
31257,2014047,4
31257,1671144,46
31257,5503170,40
31257,2044106,68
31257,2044105,59
31257,2044104,69
31257,2044054,45
31257,2088856,34
31257,2088855,8
31257,2088854,39
31257,2088852,23
31257,2088851,76
31257,2088850,40
31257,2011329,50
31257,1061312,54
31257,5031760,38
31257,5031991,7
31257,2044080,50
31257,2044079,97
31257,1895154,44
31257,2088848,4
31257,2088847,78
31257,2101601,65
31257,2101597,42
31257,2101600,76
31257,2101598,78
31257,2096298,12
31257,2096296,36
31257,2096301,96
31257,2096299,5
31257,2096297,5
31257,2096294,24
31257,2089863,27
31257,2089861,49
31257,2089859,90
31257,2089858,32
31257,2080520,88
31257,2068636,19
31257,2068634,43
31257,5022682,98
31257,1921054,76
31257,1895153,23
31257,2044118,48
31257,1892117,88
31257,1892116,33
31257,2045274,20
31257,2021824,14
31257,2022366,65
31257,2060721,72
31257,2048066,13
31257,1191338,5
31257,1191337,0
31257,2048071,33
31257,2044874,46
31257,2044871,93
31257,2144445,29
31257,2144444,48
31257,2144443,83
31257,2144442,13
31257,2144193,86
31257,2144192,39
31257,2144191,10
31257,2144190,18
31257,2134096,82
31257,2134095,60
31257,2134094,66
31257,2134092,64
31257,2134091,12
31257,2134090,35
31257,2130821,80
31257,2130820,31
31257,2124662,35
31257,2124660,57
31257,1951638,51
31257,1951525,16
31257,2046452,89
31257,2046451,4
31257,5506174,90
31257,5506171,85
31257,5506176,96
31257,2047643,15
31257,1671712,49
31257,5503166,45
31257,5503165,60
31257,5503164,17
31257,5501156,58
31257,1951123,9
31257,1951130,63
31257,1951129,54
31257,1951127,20
31257,2044059,67
31257,2040372,19
31257,2040371,12
31257,2060722,68
31257,1131095,6
31257,1951079,99
31257,1951078,61
31257,1951103,3
31257,1951099,85
31257,1951098,81
31257,1951076,48
31257,1951541,71
31257,1951539,99
31257,1951581,90
31257,1951577,79
31257,1951575,28
31257,1951537,80
31257,1951527,73
31257,1951085,29
31257,6071522,2
31257,1132068,25
31257,1671316,64
31257,1671023,32
31257,1671021,59
31257,2085357,47
31257,1921108,57
31257,1921106,68
31257,1921105,31
31257,2108598,5
31257,1951457,66
31257,5012729,22
31257,2042580,39
31257,2108613,23
31257,2108614,31
31257,2108611,25
31257,2108610,6
31257,2089869,23
31257,2089868,30
31257,2089867,69
31257,1951468,0
31257,1951467,10
31257,1951465,10
31257,1951463,36
31257,2111567,87
31257,1671158,26
31257,1671157,80
31257,1671155,71
31257,1894485,35
31257,1894484,99
31257,1894483,54
31257,1892990,38
31257,1472358,38
31257,5502666,86
31257,5502665,38
31257,5503158,16
31257,2057918,21
31257,2078380,69
31257,2057731,64
31257,2088838,76
31257,2011511,81
31257,1951131,75
31257,1951083,19
31257,1951082,24
31257,1951113,2
31257,1951111,43
31257,1951109,44
31257,1951108,26
31257,1951105,70
31257,2060718,64
31257,2048070,83
31257,2048069,74
31257,2048068,21
31257,1061375,42
31257,1061374,88
31257,1061373,71
31257,1061371,85
31257,1061059,26
31257,1951117,92
31257,1951096,27
31257,1951095,6
31257,1951091,53
31257,1951090,72
31257,1951087,85
31257,1951086,25
31257,1892309,4
31257,1894490,38
31257,1891447,60
31257,1891443,92
31257,1893606,96
31257,1893605,1
31257,1893604,87
31257,1892351,78
31257,1892349,25
31257,1893609,27
31257,1894648,8
31257,1894647,63
31257,1894646,43
31257,1892659,88
31257,1671509,12
31257,1671545,86
31257,1951007,15
31257,1951006,94
31257,1951005,36
31257,1951003,48
31257,1951002,27
31257,1951001,4
31257,1951009,90
31257,1951008,31
31257,1951000,42
31257,2085755,11
31257,1892298,67
31257,1891384,81
31257,1891174,71
31257,1891173,45
31257,1891172,74
31257,1891181,58
31257,1671730,34
31257,1891379,18
31257,1891378,0
31257,1891377,49
31257,1894489,33
31257,1892791,40
31257,2088839,3
31257,2088861,85
31257,5501154,12
31257,5503439,22
31257,5503438,5
31257,5506196,56
31257,1951411,74
31257,1951435,11
31257,1951456,95
31257,1951455,44
31257,1951423,75
31257,2044088,88
31257,2041229,72
31257,2041231,18
31257,5014372,84
31257,1921100,21
31257,1921099,6
31257,1921098,45
31257,1921102,1
31257,1921101,29
31257,2088859,65
31257,1892817,22
31257,1892362,90
31257,5021366,38
31257,5506178,37
31257,1951426,79
31257,2065454,45
31257,2054902,8
31257,1781073,12
31257,1951054,76
31257,2138696,28
31257,2138695,15
31257,1892342,71
31257,1892339,77
31257,1893603,25
31257,1895423,99
31257,1894495,40
31257,1894494,89
31257,1892801,83
31257,2078305,28
31257,2057677,92
31257,2131380,41
31257,2131379,42
31257,2131381,62
31257,2125062,21
31257,2118820,82
31257,1782551,6
31257,1782549,98
31257,1951431,5
31257,1951415,84
31257,1671544,46
31257,1921043,74
31257,2049874,17
31257,2049873,81
31257,2088545,2
31257,2085759,40
31257,1671788,45
31257,1671787,7
31257,1671786,39
31257,1671018,76
31257,1671019,69
31257,6012064,90
31257,6012063,94
31257,6012062,9
31257,2044125,37
31257,1894488,24
31257,2011355,54
31257,2126979,95
31257,2126978,57
31257,2124663,7
31257,2123877,52
31257,2088564,32
31257,2088561,52
31257,2088552,25
31257,2078381,59
31257,2107562,34
31257,1671636,23
31257,1671710,0
31257,1671709,49
31257,1671706,73
31257,1472359,66
31257,2144183,52
31257,2138698,45
31257,2044915,4
31257,2044914,94
31257,1951459,46
31257,1951460,12
31257,1951448,6
31257,1951447,69
31257,1951445,92
31257,1951019,76
31257,1951014,10
31257,1951013,79
31257,1951012,77
31257,2138667,38
31257,1951052,30
31257,1951051,66
31257,1951050,73
31257,1951060,97
31257,1951058,50
31257,1891238,77
31257,1892313,95
31257,1892312,15
31257,1892310,94
31257,1951440,76
31257,1671470,37
31257,2047537,69
31257,2047544,68
31257,2023871,35
31257,2023868,63
31257,5022020,83
31257,2021575,90
31257,1331120,99
31257,1331257,22
31257,1331255,6
31257,1331243,27
31257,1331144,21
31257,1471506,49
31257,1471504,27
31257,1472989,22
31257,1472988,90
31257,2086886,7
31257,2044805,45
31257,2044802,8
31257,2023640,72
31257,2021235,28
31257,2023031,47
31257,2091026,55
31257,2091025,64
31257,2091023,89
31257,1921104,61
31257,1921029,31
31257,1921020,63
31257,1921033,92
31257,1921042,61
31257,1921041,78
31257,1921037,38
31257,2108599,60
31257,2095988,99
31257,2095985,31
31257,2095986,94
31257,1782727,39
31257,1921045,11
31257,1921040,60
31257,2021542,24
31257,2045282,47
31257,2045280,49
31257,2045633,28
31257,1781707,73
31257,1781706,67
31257,2088837,47
31257,2088835,62
31257,2065452,37
31257,2065457,60
31257,5013729,59
31257,2057988,49
31257,2014779,23
31257,2132868,63
31257,2132867,50
31257,1891425,41
31257,1891196,26
31257,1331191,14
31257,6062400,96
31257,1331190,84
31257,2052020,39
31257,1331105,21
31257,2103627,11
31257,2078303,29
31257,2085905,74
31257,2085900,4
31257,2085875,20
31257,2085873,15
31257,2100184,89
31257,2100177,34
31257,2100183,6
31257,2052021,79
31257,1331112,90
31257,1331111,83
31257,2086853,9
31257,2086852,99
31257,2100179,94
31257,2100178,0
31257,2100173,12
31257,2100176,45
31257,2100182,32
31257,2100180,4
31257,2100174,78
31257,2016341,73
31257,5021009,39
31257,1331099,88
31257,1331098,62
31257,5051259,57
31257,5051327,66
31257,2086873,94
31257,1894487,30
31257,1895420,35
31257,1895419,29
31257,1892789,94
31257,1892303,89
31257,1892301,17
31257,1893612,88
31257,1893611,91
31257,1891187,91
31257,2115464,94
31257,2115461,50
31257,2115460,53
31257,2109506,60
31257,1892316,43
31257,1671772,44
31257,5506072,92
31257,1671314,82
31257,1671312,29
31257,1671310,58
31257,1671568,31
31257,1671567,55
31257,2123387,17
31257,2123386,84
31257,2123385,65
31257,1331231,57
31257,1331230,79
31257,1331228,9
31257,1331227,73
31257,1331226,86
31257,6011812,40
31257,6011811,99
31257,5505041,98
31257,2023756,48
31257,2023755,49
31257,1473627,53
31257,1473626,19
31257,1473625,42
31257,1473624,78
31257,1473622,42
31257,1473621,25
31257,1473620,15
31257,6012045,94
31257,6012044,59
31257,6012043,49
31257,6012051,16
31257,6012050,60
31257,6012049,72
31257,1921011,27
31257,1921010,91
31257,5505019,3
31257,5021028,51
31257,2132865,48
31257,2132864,16
31257,2132862,84
31257,1331096,69
31257,1331095,35
31257,2042492,12
31257,2042489,70
31257,2042488,92
31257,2047726,99
31257,2116558,3
31257,2116557,86
31257,2085904,57
31257,2085871,64
31257,1331279,45
31257,1331026,28
31257,1331023,49
31257,1331022,76
31257,1331021,37
31257,1331020,20
31257,2098954,30
31257,2098955,51
31257,2098953,98
31257,2086877,93
31257,2086875,94
31257,2086895,39
31257,2052018,7
31257,2042972,83
31257,1331244,88
31257,5022337,83
31257,2046225,38
31257,1891428,0
31257,1891426,27
31257,2085884,65
31257,2021218,52
31257,5013722,57
31257,5013728,80
31257,5013730,43
31257,2110262,19
31257,2110260,45
31257,6011910,18
31257,6011913,46
31257,6011912,65
31257,6011823,0
31257,6011822,90
31257,6011820,81
31257,6011819,49
31257,6011825,38
31257,6011802,28
31257,6011816,66
31257,6011815,30
31257,2016027,67
31257,2091022,92
31257,2091021,3
31257,1331037,27
31257,1331036,63
31257,1331035,52
31257,1331034,36
31257,1331033,75
31257,1471598,71
31257,1471164,84
31257,1471163,95
31257,1471154,31
31257,2013950,14
31257,2012462,3
31257,6012034,28
31257,6012032,55
31257,6012031,92
31257,2132861,26
31257,2132858,85
31257,2132857,0
31257,2132856,97
31257,5502454,25
31257,1331091,14
31257,6011120,71
31257,1331225,85
31257,5503483,46
31257,5503482,61
31257,1891195,77
31257,2044339,33
31257,2044338,60
31257,2045926,18
31257,2045928,13
31257,2045285,63
31257,2045284,87
31257,2115458,59
31257,2115457,16
31257,2016858,16
31257,2017298,0
31257,2017948,59
31257,2047543,36
31257,2086872,71
31257,2086890,27
31257,5013726,68
31257,5013724,49
31257,5013723,17
31257,1331094,64
31257,1331097,63
31257,5022021,86
31257,2014046,59
31257,2016476,18
31257,1331232,74
31257,1473002,35
31257,1473001,53
31257,1472701,81
31257,1472257,1
31257,1473358,52
31257,1473356,39
31257,1473355,65
31257,1473353,89
31257,1473352,4
31257,1473350,21
31257,1331071,87
31257,1331067,34
31257,1331066,66
31257,1331086,37
31257,1331085,7
31257,5013654,56
31257,5012325,88
31257,2013700,43
31257,1473360,29
31257,1473359,95
31257,1473349,11
31257,2049649,84
31257,2049648,37
31257,2049647,60
31257,2049654,19
31257,2049651,0
31257,2049650,35
31257,2054924,63
31257,1671426,2
31257,1671424,14
31257,1473569,11
31257,1473568,97
31257,2042361,94
31257,2042360,50
31257,2042359,52
31257,1711567,11
31257,1711566,34
31257,2098966,18
31257,2098967,1
31257,2023433,29
31257,2085893,65
31257,2085889,54
31257,2085887,78
31257,1473571,78
31257,1473567,49
31257,6011116,70
31257,6011806,94
31257,6011804,65
31257,6011803,12
31257,2040335,23
31257,2040333,12
31257,2099503,3
31257,2086896,20
31257,2045761,91
31257,1331237,2
31257,1331201,48
31257,2042350,83
31257,2042349,61
31257,2042348,22
31257,5503163,3
31257,5503162,25
31257,1471597,68
31257,2124479,34
31257,2124480,61
31257,2047575,72
31257,2047574,40
31257,2047572,45
31257,2047568,0
31257,2047565,55
31257,2047564,8
31257,2047563,86
31257,2047562,84
31257,2098956,71
31257,2098952,64
31257,2091639,1
31257,2052028,67
31257,2052027,48
31257,1331239,45
31257,1331238,8
31257,1331047,84
31257,1331045,5
31257,2105324,51
31257,2105323,67
31257,2105322,3
31257,2103193,19
31257,2103194,20
31257,2049925,52
31257,2049924,48
31257,2049923,67
31257,2052053,18
31257,2016580,66
31257,1331159,87
31257,6071271,94
31257,2052052,88
31257,2052037,28
31257,2052060,68
31257,2052058,68
31257,1331076,80
31257,2047560,6
31257,2047468,11
31257,5022991,72
31257,1331090,94
31257,1331088,33
31257,6012056,36
31257,5503481,62
31257,2023056,40
31257,2023095,69
31257,5013535,50
31257,1331059,58
31257,2085903,94
31257,2085877,52
31257,2085876,11
31257,2085892,25
31257,2085897,74
31257,2085895,40
31257,2066149,0
31257,2066145,39
31257,2066141,18
31257,2057716,57
31257,6071940,51
31257,6071984,59
31257,6031056,21
31257,2047555,75
31257,2047553,20
